year,title,authors,venue,url,selected,note
2026,Inferring the genetic basis of sleep states in Drosophila melanogaster using hidden Markov models,Ghosh Arijit; Harbison Susan Tracy,bioRxiv,https://www.biorxiv.org/content/10.64898/2026.01.14.699526v1,yes,
2025,"Conserved and Unique Mitochondrial Target Sequence of TRPV4 Can Independently Regulate Mitochondrial Functions",Acharya Tusar Kanta; Mahapatra Parnasree; Kumar Shamit; Dubey Nishant Kumar; Rajalaxmi Srujanika; Ghosh Arijit; Kumar Ashutosh; Goswami Chandan,"PROTEINS: Structure, Function, and Bioinformatics",https://onlinelibrary.wiley.com/doi/abs/10.1002/prot.26772,,
2024,The Genetics of Sleep in Drosophila,Singh Narendra Pratap; Ghosh Arijit; Harbison Susan T,In Genetics of Sleep and Sleep Disorders,https://link.springer.com/chapter/10.1007/978-3-031-62723-1_2,yes,Springer
2024,"Circadian Rhythm and Sleep Analyses in a Fruit Fly Model of Fragile X Syndrome Using a Video-Based Automated Behavioral Research System",Milojevic Sara; Ghosh Arijit; Makevic Vedrana; Stojkovic Maja; Capovilla Maria; Tosti Tomislav; Budimirovic Dejan; Protic Dragana,International Journal of Molecular Sciences,https://www.mdpi.com/1422-0067/25/14/7949,,
2023,TRPV4 regulates osteoblast differentiation and mitochondrial function that are relevant for channelopathy,Acharya Tusar Kanta; Pal Subhashis; Ghosh Arijit; Kumar Shamit; Kumar Satish; Chattopadhyay Naibedya; Goswami Chandan,Frontiers in Cell and Developmental Biology,https://www.frontiersin.org/journals/cell-and-developmental-biology/articles/10.3389/fcell.2023.1066788/full,yes,
2022,VANESSA — Shiny Apps for Accelerated Time-series Analysis and Visualization of Drosophila Circadian Rhythm and Sleep Data,Ghosh Arijit; Sheeba Vasu,Journal of Biological Rhythms,https://journals.sagepub.com/doi/full/10.1177/07487304221077662,yes,
2021,Evidence for co-evolution of masking with circadian phase in Drosophila melanogaster,Ghosh Arijit; Sharma Pragya; Dansana Shephali; Sheeba Vasu,Journal of Biological Rhythms,https://journals.sagepub.com/doi/full/10.1177/0748730421997262,,
2021,TRPM8 channel inhibitor-encapsulated hydrogel as a tunable surface for bone tissue engineering,Acharya Tusar Kanta; Kumar Satish; Tiwari Nikhil; Ghosh Arijit; et al.,Scientific Reports,https://www.nature.com/articles/s41598-021-81041-w,,
2020,TLR9 polymorphisms might contribute to the ethnicity bias for EBV-infected Nasopharyngeal Carcinoma,Chattopadhyay Nabanita Roy; Chatterjee Koustav; Tiwari Nikhil; Chakrabarti Sudipta; Sahu Sushil Kumar; Roy Sankar Deb; Ghosh Arijit; et al.,iScience,https://www.cell.com/iscience/fulltext/S2589-0042(20)30121-8,,
2019,Selection for timing of eclosion results in co-evolution of temperature responsiveness in Drosophila melanogaster,Abhilash Lakshman; Ghosh Arijit; Sheeba Vasu,Journal of Biological Rhythms,https://journals.sagepub.com/doi/full/10.1177/0748730419877315,,
2019,TRPA1 is selected as a semi-conserved channel during vertebrate evolution due to its involvement in spermatogenesis,Saha Somdatta; Sucharita Samikshya; Majhi Rakesh Kumar; Tiwari Ankit; Ghosh Arijit; et al.,Biochemical and Biophysical Research Communications,https://www.sciencedirect.com/science/article/pii/S0006291X19303225,,
2017,Preferential selection of Arginine at the lipid-water-interface of TRPV1 during vertebrate evolution correlates with its snorkeling behaviour and cholesterol interaction,Saha Somdatta; Ghosh Arijit; Tiwari Nikhil; Kumar Ashutosh; Kumar Abhishek; Goswami Chandan,Scientific Reports,https://www.nature.com/articles/s41598-017-16780-w,yes,
2017,A Modified Polysaccharide-Based Hydrogel for Enhanced Osteogenic Maturation and Mineralization Independent of Differentiation Factors,Sanyasi Sridhar; Kumar Satish; Ghosh Arijit; Majhi Rakesh Kumar; et al.,Macromolecular Bioscience,https://onlinelibrary.wiley.com/doi/full/10.1002/mabi.201600268,,
2016,Why individual thermo sensation and pain perception varies? Clue of disruptive mutations in TRPVs from 2504 human genome data,Ghosh Arijit; Kaur Navneet; Kumar Abhishek; Goswami Chandan,Channels,https://www.tandfonline.com/doi/full/10.1080/19336950.2016.1162365,yes,
2015,Expression of temperature-sensitive ion channel TRPM8 in sperm cells correlates with vertebrate evolution,Majhi Rakesh Kumar; Saha Somdatta; Kumar Ashutosh; Ghosh Arijit; et al.,PeerJ,https://peerj.com/articles/1310/,,
