category,description,order
editorial,"Member of Editorial Advisory Board at <span class=""highlight"">SLEEP Advances</span> (2025–2028)",1
editorial,"Peer reviewer for <span class=""highlight"">Sleep Advances</span>, <span class=""highlight"">Journal of Biological Rhythms</span>, <span class=""highlight"">Nature and Science of Sleep</span>, <span class=""highlight"">Scientific Reports</span>",2
service,"Served as a FARE2026 committee member, disbursing $250,000 as travel awards to trainees at the NIH",1
service,Served as a judge at the NIH Graduate Student Symposium 2024,2
mentoring,Mentored a summer trainee at NIH in Summer 2024,1
mentoring,Mentored a postbac at NIH from 2023–2024,2
mentoring,Regularly mentored junior graduate students throughout 2016–2022,3
mentoring,Mentored 1-year masters dissertation research thesis of trainee (2019–2020) at JNCASR,4
mentoring,"Mentored 2 summer trainees each in the summers of 2017, 2018, and 2019 at JNCASR",5
mentoring,"Mentored 1 summer trainee in the summer of 2015 at NISER, and one short-term trainee in 2015",6
teaching,Teaching assistant at the 2020 International Chronobiology Summer School (May–July 2020),1
teaching,"Taught the basic chronobiology course at the Neuroscience Unit, JNCASR (3 weeks — 2018, 2019, 2021)",2
teaching,"Taught chronobiology practical course — timeseries analysis module (3 weeks — 2018, 2019)",3
teaching,"Taught the basic statistics module of the Neurobiology practical courses at the Neuroscience Unit, JNCASR (2 weeks — 2018, 2019)",4
